choice_name;choice_label_en;choice_label_uk
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
towels;Towels ;Рушники 
toilet_paper;Toilet paper & wet wipes ;Туалетний папір та вологі серветки 
shampoo;Shampoo & body soap ;Шампунь та мило для тіла 
tooth_paste;Tooth paste and brush ;Зубна паста та щітки 
surgical_masks;Surgical and N-95 masks ;Хірургічні маски та маски N-95
hand_sanitizers;Hand sanitizers (bulk bottles) ;Дезінфікуючі засоби для рук (у великих ємностях)
menstrual_pads;Menstrual pads and tampons ;Прокладки і тампони для жінок 
diapers_for_kids;Diapers for kids ;Підгузки для дітей 
adult_diapers;Adult diapers ;Підгузки для дорослих 
razors_and_shaving_cream;Razors and shaving cream ;Бритви та крем для гоління
other;Other (specify);Інше, уточніть
every_day;Every day;Кожен день
3_times_week;Three times/week;Три рази на тиждень
less_3_times_week;Less than three times/week;Менш ніж три рази на тиждень
no_cleaning;No cleaning;Прибирання не проводиться
not_sure;Not sure;Не впевнений
hired_staff;Staff hired by the agency/authority managing the center;Персонал, найнятий органом, який керує центром
contractor_company;Contractor company;Компанія-підрядник
volunteers;Volunteers;Волонтери
site_residents;Site residents;Мешканці центру
none;None;Жодні
government;Government;Державні органи
local_authorities;Local authorities;Місцева влада
international_ngo;International NGO;Міжнародні НУО
local_ngo;Local NGO;Національні НУО
volunteer_organisation;Volunteer organisation;Волонтерські організації
host_community;Host community;Приймаюча громада
religious_organizations;Religious organizations;Релігійні організації
other;Other (specify);Інше, уточніть
icrc;International Committee of the Red Cross;Міжнародний комітет Червоного Хреста
caritas;CARITAS;CARITAS
save_the_children;SAVE THE CHILDREN;ВРЯТУЙТЕ ДІТЕЙ (SAVE THE CHILDREN)
unhcr;UNHCR;УВКБ ООН (UNHCR)
un;UN;ООН (UN)
unicef;UNICEF;ЮНІСЕФ (UNICEF)
iom;IOM;МОМ (IOM)
med_air;MED AIR;MED AIR
nrc;NRC;NRC
acted;ACTED;ACTED
pin;PIN;Людина в біді (People in need)
doctors_without_borders;DOCTORS WITHOUT BORDERS;ЛІКАРИ БЕЗ КОРДОНІВ (DOCTORS WITHOUT BORDERS)
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
r2p;R2P;Право на захист (R2P)
neemia;NEEMIA;NEEMIA
neeka;NEEKA;NEEKA
rokada;ROKADA;ROKADA
crimea_sos;CRIMEA SOS;CRIMEA SOS
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes_once_week;At least once every week;Як мінімум раз на тиждень 
yes_once_month;At least once a month;Як мінімум раз на місяць 
yes_irregularly;Irregularly (less than once a month);Нерегулярно (рідше одного разу на місяць)
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
available_on_site;Psychologist available for on-site sessions upon request;Психолог приїжджає до центру за запитом
available_every_day;Psychologist available at the site every day;Послуги психолога доступні у центрі щодня
visits_once_week;Psychologist visits the site once a week;Психолог приїжджає до центру раз на тиждень
visits_once_month;Psychologist visits the site once a month;Психолог приїжджає до центру раз на місяць
available_phone;Psychologist services available via phone;Послуги психолога доступні за телефоном
counselling_on_site;Counselling services available on-site upon request;Консультаційні послуги надаються за запитом
counselling_once_week;Counselling services available on-site once a week;Консультаційні послуги надаються у центрі раз на тиждень
counselling_once_month;Counselling services available on-site once a month;Консультаційні послуги надаються в центрі щомісяця
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
hired_staff;Staff hired by the agency/authority managing the center;Персонал, найнятий органом, який керує центром
contractor_company;Contractor company;Компанія-підрядник
volunteers;Volunteers;Волонтери
site_residents;Site residents;Мешканці центру
none;None;Жодні
government;Government;Державні органи
local_authorities;Local authorities;Місцева влада
international_ngo;International NGO;Міжнародні НУО
local_ngo;Local NGO;Національні НУО
volunteer_organisation;Volunteer organisation;Волонтерські організації
host_community;Host community;Приймаюча громада
religious_organizations;Religious organizations;Релігійні організації
other;Other (specify);Інше, уточніть
icrc;International Committee of the Red Cross;Міжнародний комітет Червоного Хреста
caritas;CARITAS;CARITAS
